"year","race_ethnicity","opioid_type","std_rate","var"
1999,"all_hispanic","opioid",3.47515769124594,0.0125845911333204
2000,"all_hispanic","opioid",2.65313180432607,0.00884061772894963
2001,"all_hispanic","opioid",2.62841211218284,0.00866595630990735
2002,"all_hispanic","opioid",3.17237533739192,0.0101043070866481
2003,"all_hispanic","opioid",3.23480067613304,0.00976952483373261
2004,"all_hispanic","opioid",2.85198642926877,0.00852312644679356
2005,"all_hispanic","opioid",2.97481605889754,0.00818623834128787
2006,"all_hispanic","opioid",3.25316374206537,0.00866742542012269
2007,"all_hispanic","opioid",3.18183829109598,0.00796585031146174
2008,"all_hispanic","opioid",3.3623152641826,0.00812583451225433
2009,"all_hispanic","opioid",3.22708642643385,0.00752871078106727
2010,"all_hispanic","opioid",2.89024992477974,0.00642125113575797
2011,"all_hispanic","opioid",3.29865562161889,0.00699880631790237
2012,"all_hispanic","opioid",3.45351378702171,0.00725734593728359
2013,"all_hispanic","opioid",3.81748373349301,0.00777130214816981
2014,"all_hispanic","opioid",3.99343813949802,0.00789744111792966
2015,"all_hispanic","opioid",4.59397141464399,0.00870210601933771
2016,"all_hispanic","opioid",6.1252680842395,0.011241840745631
2017,"all_hispanic","opioid",6.85249585761823,0.0122879345049967
2018,"all_hispanic","opioid",7.4638626461648,0.0130877758978625
1999,"black","opioid",3.45143356948455,0.0104159266367115
2000,"black","opioid",3.39423570996095,0.00999897823511469
2001,"black","opioid",3.29741208115298,0.00953429066809796
2002,"black","opioid",3.54529234541048,0.0100773035470654
2003,"black","opioid",3.39643848265027,0.00947626018507853
2004,"black","opioid",3.09663908093929,0.00846742673262327
2005,"black","opioid",3.34928298369943,0.00901811519277137
2006,"black","opioid",4.07149782596777,0.0107680286678365
2007,"black","opioid",3.44420231333716,0.00891403652476082
2008,"black","opioid",3.31512628676351,0.00843515715633799
2009,"black","opioid",3.47441556982563,0.00872021964630863
2010,"black","opioid",3.24867754088532,0.00795406997999125
2011,"black","opioid",3.60667790220818,0.00874550483467514
2012,"black","opioid",3.89981720461428,0.00934867642328287
2013,"black","opioid",4.50559435581297,0.0106142008246467
2014,"black","opioid",5.39017306384997,0.0126765253639697
2015,"black","opioid",6.37126182238764,0.0148476572832425
2016,"black","opioid",9.96364640760397,0.0227747229001302
2017,"black","opioid",12.347628882764,0.0279927718789108
2018,"black","opioid",13.4722884960099,0.0301576004051093
1999,"nh_american_indian","opioid",2.92026881301066,0.132618520915685
2000,"nh_american_indian","opioid",2.72445478009516,0.11871981069462
2001,"nh_american_indian","opioid",3.45145376710241,0.158087648225475
2002,"nh_american_indian","opioid",4.15442571421093,0.177597223380064
2003,"nh_american_indian","opioid",5.26212727655845,0.230032713165675
2004,"nh_american_indian","opioid",6.22582733381168,0.270619828684636
2005,"nh_american_indian","opioid",6.90872944998875,0.307168238019276
2006,"nh_american_indian","opioid",7.11159390859347,0.305583403814019
2007,"nh_american_indian","opioid",7.86650540344451,0.324267901849092
2008,"nh_american_indian","opioid",9.35941938392093,0.387437042498507
2009,"nh_american_indian","opioid",11.3832045988495,0.477319026961221
2010,"nh_american_indian","opioid",9.37916908789482,0.385356745742871
2011,"nh_american_indian","opioid",10.3435749478695,0.42619209668847
2012,"nh_american_indian","opioid",11.0153222114031,0.44540150649357
2013,"nh_american_indian","opioid",10.4978234508792,0.416386384266686
2014,"nh_american_indian","opioid",12.0210361850503,0.48824268134736
2015,"nh_american_indian","opioid",12.2297109424682,0.495278825059165
2016,"nh_american_indian","opioid",13.8418807744268,0.545410254664644
2017,"nh_american_indian","opioid",15.7315712565663,0.636258057023416
2018,"nh_american_indian","opioid",14.1860500136046,0.565947362768058
1999,"nhb","opioid",3.46773604799168,0.0108033572110899
2000,"nhb","opioid",3.43932357106186,0.0104848836752331
2001,"nhb","opioid",3.33785599394429,0.0100078039731577
2002,"nhb","opioid",3.6014494419717,0.0106184194199039
2003,"nhb","opioid",3.47647358001461,0.0100877531506654
2004,"nhb","opioid",3.15559804864267,0.0089926144311183
2005,"nhb","opioid",3.40502016854532,0.00956176933962614
2006,"nhb","opioid",4.20575322294949,0.011642500935619
2007,"nhb","opioid",3.53403850657958,0.00958910801712725
2008,"nhb","opioid",3.39287737700992,0.00906167437605478
2009,"nhb","opioid",3.57618180554814,0.00944472368785378
2010,"nhb","opioid",3.38605204559622,0.00874496235700659
2011,"nhb","opioid",3.7257767817827,0.00956277204092995
2012,"nhb","opioid",4.00057926216945,0.0101678577307007
2013,"nhb","opioid",4.66559010383213,0.011668782808901
2014,"nhb","opioid",5.55001177963557,0.0138777303008529
2015,"nhb","opioid",6.55279056809604,0.016272793785156
2016,"nhb","opioid",10.247774388359,0.0250058399410799
2017,"nhb","opioid",12.8040778424165,0.0310279199907774
2018,"nhb","opioid",13.9431931978794,0.0334011062873208
1999,"nhw","opioid",2.84883044904924,0.00143568486728645
2000,"nhw","opioid",3.11808056656168,0.00157348409876158
2001,"nhw","opioid",3.66266057267839,0.00184953779472138
2002,"nhw","opioid",4.71082949282599,0.00238927064725217
2003,"nhw","opioid",5.20254382406113,0.00265084978191823
2004,"nhw","opioid",5.69587976982716,0.00291145169956906
2005,"nhw","opioid",6.13002525407909,0.00314076849348019
2006,"nhw","opioid",7.22590021662717,0.00372410466748861
2007,"nhw","opioid",7.78820694415602,0.0040341434358852
2008,"nhw","opioid",8.24242604715275,0.00429077336597308
2009,"nhw","opioid",8.56419189029245,0.00447696434107979
2010,"nhw","opioid",9.05143772539592,0.00478821559024947
2011,"nhw","opioid",9.69986180958008,0.00517312077645464
2012,"nhw","opioid",9.74967738833409,0.00522164456799594
2013,"nhw","opioid",10.422419051718,0.00559307482524266
2014,"nhw","opioid",11.9918733068692,0.00648577081393324
2015,"nhw","opioid",13.9140998020029,0.00761313370605079
2016,"nhw","opioid",17.4169488984319,0.00963687466577718
2017,"nhw","opioid",19.4114560952986,0.0107883774759278
2018,"nhw","opioid",18.5881514502738,0.010386400966213
1999,"other","opioid",0.696145892384522,0.00491446965549255
2000,"other","opioid",0.684279218013211,0.00442022977041891
2001,"other","opioid",0.717628384214646,0.00458368553636165
2002,"other","opioid",1.02825051805811,0.00665557353261488
2003,"other","opioid",1.02559210211058,0.00598268908857877
2004,"other","opioid",1.24353950578663,0.00712209002664512
2005,"other","opioid",1.43091356894961,0.00801331009770349
2006,"other","opioid",1.42265817396092,0.00758508039816856
2007,"other","opioid",1.44342226211577,0.00723500327628358
2008,"other","opioid",1.70162353399152,0.00828491486093088
2009,"other","opioid",1.95573686295778,0.00935124339323478
2010,"other","opioid",1.68025485618132,0.00766744833473818
2011,"other","opioid",1.88603384206116,0.00821396395610705
2012,"other","opioid",1.9844212227508,0.0085303702824782
2013,"other","opioid",1.8940846193328,0.00777955777381416
2014,"other","opioid",2.17764793225067,0.00876356839078249
2015,"other","opioid",2.25020217030229,0.00884176343587233
2016,"other","opioid",2.74234116811445,0.0103114821401483
2017,"other","opioid",2.95547184838081,0.0108763100411127
2018,"other","opioid",2.86092836924179,0.0103530824605067
1999,"total","opioid",2.88281760037852,0.00103437629015922
2000,"total","opioid",2.97492072535282,0.00105449913955711
2001,"total","opioid",3.32305744397674,0.00116469710999389
2002,"total","opioid",4.13968589812363,0.00144089834077381
2003,"total","opioid",4.45561965697897,0.00153953957132076
2004,"total","opioid",4.68551418417904,0.00160478280686465
2005,"total","opioid",5.02329868239042,0.00170471149944624
2006,"total","opioid",5.84073486523817,0.00196597705177694
2007,"total","opioid",6.11371828842139,0.00204622104161786
2008,"total","opioid",6.40671037533831,0.00213181374361373
2009,"total","opioid",6.61932221441144,0.00219144558406845
2010,"total","opioid",6.793753058258,0.00224328332340999
2011,"total","opioid",7.30245133637299,0.00240706427935116
2012,"total","opioid",7.37589955992068,0.00242240970067723
2013,"total","opioid",7.89454023937723,0.00257519209408918
2014,"total","opioid",9.00426633629054,0.002937037836567
2015,"total","opioid",10.3806456595873,0.0033849577103139
2016,"total","opioid",13.2178952039092,0.00430311145345618
2017,"total","opioid",14.8318785060215,0.00481346465542366
2018,"total","opioid",14.5138088937034,0.00469449969939784
1999,"white","opioid",2.95492540181807,0.00128888934774708
2000,"white","opioid",3.08316566923396,0.00133519556742737
2001,"white","opioid",3.53030851871452,0.00151809282199303
2002,"white","opioid",4.4841246585231,0.00192244625235649
2003,"white","opioid",4.9040901211208,0.00209593738724635
2004,"white","opioid",5.23323872221187,0.00222716471052883
2005,"white","opioid",5.6130449186817,0.00237649310334993
2006,"white","opioid",6.53684460520195,0.00275814315746921
2007,"white","opioid",6.98614121430206,0.00294296468214224
2008,"white","opioid",7.37175447130859,0.00310041115049949
2009,"white","opioid",7.60419866656317,0.00319212805959607
2010,"white","opioid",7.90977070375214,0.00333058089677789
2011,"white","opioid",8.49279797421838,0.00358198405953114
2012,"white","opioid",8.54813045073311,0.00360593450709434
2013,"white","opioid",9.14021068152178,0.00384571920948089
2014,"white","opioid",10.4070898463056,0.00439292067232834
2015,"white","opioid",12.0396855442311,0.00510426026799736
2016,"white","opioid",15.0758336623186,0.00642269281787825
2017,"white","opioid",16.7553455987481,0.00713866351440373
2018,"white","opioid",16.1912456581285,0.00690465649597273
1999,"all_hispanic","drug",5.44130220866194,0.0199627463523524
2000,"all_hispanic","drug",4.51286979828621,0.0159138088044988
2001,"all_hispanic","drug",4.44534221647673,0.0148943954614111
