"year","race_ethnicity","opioid_rate","drug_rate","nonopioid_rate","opium_rate","heroin_rate","natural_rate","methadone_rate","synth_rate","other_op_rate","unspec_op_rate","nonh_nonm_rate","opioid_var","drug_var","nonopioid_var","opium_var","heroin_var","natural_var","methadone_var","synth_var","other_op_var","unspec_op_var","nonh_nonm_var"
1999,"all_hispanic",3.47515769124594,5.44130220866194,1.966144517416,0,1.13300920898697,1.34464619128686,0.244464558835273,0.152173356292444,1.2875916351986,0,2.74430206812307,0.0125845911333204,0.0199627463523524,0.00737815521903192,0,0.00411901395594092,0.00486973850669529,0.000941084147778672,0.000572957625707136,0.00469027019474773,0,0.0100192830032299
2000,"all_hispanic",2.65313180432607,4.51286979828621,1.85973799396015,0,0.875321611260289,0.879090155577638,0.196775685822961,0.0979643067609261,1.0747453760902,0,2.00194368938047,0.00884061772894963,0.0159138088044988,0.00707319107554915,0,0.00291966431781084,0.00301007772039046,0.000646945627916689,0.000358247735090787,0.00356554887116822,0,0.0067275331872322
2001,"all_hispanic",2.62841211218284,4.44534221647673,1.81693010429389,0.00649672045900166,0.837056560910252,0.857735816034401,0.256776547835647,0.115536145028626,0.987989888196323,0,1.90722801531252,0.00866595630990735,0.0148943954614111,0.00622843915150376,2.16500681820565e-05,0.00271249291972388,0.00298298881867233,0.000839213495583145,0.000448870796427138,0.00316571204152234,0,0.00642480197029241
2002,"all_hispanic",3.17237533739192,5.34346930045102,2.17109396305909,0,1.02621651528962,1.16235664451548,0.321783404611552,0.170140151036955,1.0246036594206,0,2.25028989906508,0.0101043070866481,0.0173877348573691,0.00728342777072095,0,0.00326105703222934,0.0037672133942441,0.00107157290492011,0.000558507470764959,0.00322049190143442,0,0.00718749814933797
2003,"all_hispanic",3.23480067613304,5.61414137526744,2.3793406991344,0,1.02218344943732,1.0895571467638,0.425909392389093,0.15404118295664,1.06475745078771,0,2.22873776138572,0.00976952483373261,0.0175400744338822,0.00777054960014963,0,0.00316046608747957,0.00330134193165646,0.00129713995952399,0.000523819545519738,0.00317923673999548,0,0.00673370686915306
2004,"all_hispanic",2.85198642926877,5.19877031765384,2.34678388838507,0,0.753028055884342,0.989255195734086,0.468300686613889,0.205205786951181,0.801734083332033,0,1.89090209529647,0.00852312644679356,0.0157756524609586,0.00725252601416507,0,0.00215257026463257,0.00305092321115436,0.00136636325320194,0.000661754359802606,0.00240148957230966,0,0.00576885093635792
2005,"all_hispanic",2.97481605889754,5.74376769983454,2.768951640937,0,0.797415510135202,1.03569705105097,0.546898347128107,0.167569132275752,0.867956383011308,0,2.00240763759244,0.00818623834128787,0.0164466342487606,0.00826039590747268,0,0.00211113326130629,0.00297667767271064,0.00149382084450643,0.000506128835188976,0.00238294891506878,0,0.00565076739172075
2006,"all_hispanic",3.25316374206537,6.29648161866084,3.04331787659547,0,0.816379836976471,1.23978323669522,0.59928025012157,0.339387856017844,0.761053989931584,0,2.21574525070396,0.00866742542012269,0.0172265327130822,0.00855910729295951,0,0.00216557264042759,0.00344259385136422,0.00157113569794182,0.000885721442729092,0.00199912617557346,0,0.00599864901279508
2007,"all_hispanic",3.18183829109598,5.93273803521005,2.75089974411407,0,0.815928557376461,1.38665256580581,0.614349665809181,0.202705381174882,0.634079049031343,0,2.10923100596482,0.00796585031146174,0.015315609077651,0.00734975876618927,0,0.00198733273927215,0.00356128668636499,0.00150120284978321,0.000600093142539884,0.00154761073818623,0,0.0053867247862242
2008,"all_hispanic",3.3623152641826,5.83581007539728,2.47349481121468,0,1.00450652695475,1.39839839264851,0.606310021684063,0.187352992487859,0.709375027899325,0,2.17461203484806,0.00812583451225433,0.0145414647033304,0.00641563019107604,0,0.00233181635017289,0.00341363166745134,0.00146075258246215,0.000503740074216061,0.00174930927619017,0,0.00535774555779928
