"year","age","age_cat","race","pop","pop_std","unit_w","opioid_rate","drug_rate","nonopioid_rate","opium_rate","heroin_rate","natural_rate","methadone_rate","synth_rate","other_op_rate","unspec_op_rate","nonh_nonm_rate","opioid_var","drug_var","nonopioid_var","opium_var","heroin_var","natural_var","methadone_var","synth_var","other_op_var","unspec_op_var","nonh_nonm_var"
1979,0,"0-4","total",16062882,18986520,0.0691339919673788,0.118285124674389,0.510493695963153,0.392208571288764,0,0.0249021315103977,0,0.0747063945311931,0,0.00622553287759943,0.0124510657551989,0.0186765986327983,0.000736387932591356,0.00317809528802585,0.0024417073554345,0,0.000155029038440286,0,0.000465087115320856,0,3.87572596100714e-05,7.75145192201428e-05,0.000116271778830214
1979,5,"5-9","total",16946625,19919840,0.0725324102864281,0.00590087996872534,0.0590087996872534,0.053107919718528,0,0,0,0.00590087996872534,0,0,0,0,3.48203844053039e-05,0.000348203844053039,0.000313383459647735,0,0,0,3.48203844053039e-05,0,0,0,0
1979,10,"10-14","total",18445149,20056779,0.0730310345591237,0.0108429593059942,0.146379950630922,0.135536991324928,0,0,0,0.00542147965299711,0,0,0.00542147965299711,0.00542147965299711,5.87848832557233e-05,0.000793595923952265,0.000734811040696542,0,0,0,2.93924416278617e-05,0,0,2.93924416278617e-05,2.93924416278617e-05
1979,15,"15-19","total",21401910,19819518,0.0721671163651538,0.186899206659593,1.53724597477515,1.35034676811556,0,0.0794321628303268,0,0.00467248016648981,0,0.00934496033297963,0.0934496033297963,0.102794563662776,0.000873282836249627,0.00718275132815318,0.00630946849190355,0,0.000371145205406091,0,2.18320709062407e-05,0,4.36641418124814e-05,0.000436641418124813,0.000480305559937295
1979,20,"20-24","total",21296573,18257225,0.0664784724371095,0.854597591828507,4.42324687638711,3.5686492845586,0,0.347473746128074,0,0.0187823646555716,0,0.0140867734916787,0.474254707553182,0.488341481044861,0.00401284090087408,0.0207697589484801,0.0167569180476061,0,0.00163159465200375,0,8.81943055137161e-05,0,6.61457291352871e-05,0.00222690621422133,0.00229305194335662
1979,25,"25-29","total",19177693,17722067,0.0645298473666238,1.30359788322819,6.53363259073967,5.23003470751148,0,0.610083809350791,0,0.0156431745987382,0,0.00521439153291274,0.672656507745744,0.677870899278657,0.00679746976462803,0.0340689184603157,0.0272714486956877,0,0.00318121584984592,0,8.15696371755363e-05,0,2.71898790585121e-05,0.00350749439854806,0.00353468427760658
1979,30,"30-34","total",17024931,19511370,0.0710450833987775,0.969166923495901,5.38034486013482,4.41117793663892,0,0.458151636561699,0,0.0234949557211128,0,0.0117474778605564,0.475772853352533,0.48752033121309,0.00569263348847582,0.0316027410632961,0.0259101075748202,0,0.00269106310364311,0,0.000138003236084262,0,6.90016180421312e-05,0.00279456553070631,0.00286356714874844
1979,35,"35-39","total",13635505,22179956,0.0807619774419333,0.733379511796593,4.84030477785751,4.10692526606092,0,0.249349034010842,0,0.0440027707077956,0,0.0293351804718637,0.410692526606092,0.440027707077956,0.00537845508323009,0.0354978035493186,0.0301193484660885,0,0.00182867472829823,0,0.000322707304993805,0,0.000215138203329203,0.00301193484660885,0.00322707304993805
1979,40,"40-44","total",11540494,22479229,0.0818516946296041,0.519908419864869,4.6878409191149,4.16793249925003,0,0.129977104966217,0,0.0779862629797303,0,0.00866514033108115,0.30327991158784,0.311945051918921,0.00450507941743975,0.040620799413915,0.0361157199964753,0,0.00112626985435994,0,0.000675761912615962,0,7.50846569573291e-05,0.00262796299350652,0.00270304765046385
1979,45,"45-49","total",11217085,19805793,0.0721171406961133,0.490323466390778,4.60012561195712,4.10980214556634,0,0.124809609626743,0,0.0267449163485879,0,0.00891497211619596,0.329853968299251,0.338768940415447,0.00437122003079033,0.0410099915615966,0.0366387715308063,0,0.00111267418965572,0,0.000238430183497655,0,7.94767278325515e-05,0.00294063892980441,0.00302011565763696
1979,50,"50-54","total",11724940,17224359,0.0627175857792397,0.332624303407949,4.4435195403985,4.11089523699055,0,0.0682306263400921,0,0.0682306263400921,0,0.017057656585023,0.179105394142742,0.196163050727765,0.00283689556968265,0.0378980151744785,0.0350611196047959,0,0.000581927296345159,0,0.000581927296345159,0,0.00014548182408629,0.00152755915290604,0.00167304097699233
1979,55,"55-59","total",11581791,13307234,0.0484544934229143,0.328101240991139,3.807701244134,3.47960000314286,0,0.0604397022878413,0,0.0690739454718187,0,0.0345369727359093,0.164050620495569,0.198587593231479,0.00283290590368224,0.032876618513786,0.0300437126101038,0,0.000521851087520413,0,0.000596401242880472,0,0.000298200621440236,0.00141645295184112,0.00171465357328136
1979,60,"60-64","total",9866165,10654272,0.0387944897151384,0.405426019126986,4.14548104557343,3.74005502644645,0,0.0709495533472226,0,0.15203475717262,0,0.0101356504781747,0.172306058128969,0.182441708607144,0.00410925642462888,0.0420171469418303,0.0379078905172014,0,0.000719119874310054,0,0.00154097115923583,0,0.000102731410615722,0.00174643398046727,0.001849165391083
1979,65,"65-69","total",8745127,9409940,0.034263609991379,0.21726385448719,3.95648913960884,3.73922528512165,0,0.0114349397098521,0,0.0686096382591128,0,0.0228698794197043,0.114349397098521,0.137219276518226,0.00248439907719111,0.0452422147741118,0.0427578156969207,0,0.000130757846167953,0,0.000784547077007718,0,0.000261515692335906,0.00130757846167953,0.00156909415401544
1979,70,"70-74","total",6592925,8725574,0.0317716865874721,0.303355490923983,4.89919117842232,4.59583568749834,0,0.0151677745461991,0,0.106174421823394,0,0.0151677745461991,0.166845520008191,0.18201329455439,0.00460122769368653,0.0743098272530375,0.069708599559351,0,0.000230061384684327,0,0.00161042969279029,0,0.000230061384684327,0.00253067523152759,0.00276073661621192
1979,75,"75-79","total",4723571,7414559,0.0269979997570727,0.275215509621852,5.99122994022954,5.71601443060769,0,0.0211704238170655,0,0.148192966719459,0,0.0635112714511966,0.042340847634131,0.105852119085328,0.00582642897972427,0.126836877020152,0.121010448040427,0,0.000448186844594175,0,0.00313730791215923,0,0.00134456053378252,0.00089637368918835,0.00224093422297088
1979,80,"80-84","total",2875200,4900234,0.0178428031042169,0.313021702838063,7.02559821925431,6.71257651641625,0,0.0347801892042293,0,0.139120756816917,0,0,0.139120756816917,0.139120756816917,0.0108869540497379,0.244351635338561,0.233464681288823,0,0.00120966156108199,0,0.00483864624432794,0,0,0.00483864624432794,0.00483864624432794
1979,85,"85+","total",2196921,4259173,0.0155085624943211,0.227591251574362,11.3340443284033,11.1064530768289,0,0,0,0.18207300125949,0,0,0.0455182503148725,0.0455182503148725,0.010359555558637,0.51590586682012,0.505546311261483,0,0,0,0.00828764444690956,0,0,0.00207191111172739,0.00207191111172739
1979,0,"0-4","white",13250992,18986520,0.0691339919673788,0.113199072190218,0.399970055072103,0.286770982881885,0,0.0226398144380436,0,0.0754660481268119,0,0,0.0150932096253624,0.0150932096253624,0.000854268662981744,0.0030184159425355,0.00216414727955375,0,0.000170853732596349,0,0.00056951244198783,0,0,0.000113902488397566,0.000113902488397566
